"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4","2","0.1uF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
"2","C2","1","470uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"3","C3","1","10uF","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm",""
"4","D1","1","ES2J","Diode_SMD:D_SMA",""
"5","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"6","J1","1","Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal",""
"7","J2, J3, J4, J5","4","Nixie_Conn_12P","Nixie_Clock:Nixie_Conn_12P",""
"8","J6","1","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"9","L1","1","220uH","Inductor_THT:L_Radial_D7.0mm_P3.00mm",""
"10","NE1","1","Lamp_Neon","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"11","Q1, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q15, Q16","15","MPSA42","Package_TO_SOT_THT:TO-92_Inline",""
"12","Q2","1","TK8P65W","Package_TO_SOT_SMD:TO-252-2",""
"13","R1","1","1M","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"14","R2, R4, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24","20","47k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"15","R3","1","10M","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"16","R5","1","68k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"17","R6","1","0.05","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18","U1","1","AMS1117","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"19","U2","1","MAX1771CSA","Package_SO:SO-8_3.9x4.9mm_P1.27mm",""
"20","U3, U4","2","74HC595","Package_DIP:DIP-16_W7.62mm",""
